us_tariff,china_rate,eu_rate,canmex_rate,welfare_us,cpi_us,employment_us,trade_deficit_us,hhi_pharma,welfare_china,welfare_eu
0.0,0.4,0.1,0.5,-1.0206526594282006,-3.1758874377779356,-0.374119397228756,-11.625012191072909,580.4,0.14514023788405606,0.1676503779197258
0.0,0.4,0.2,0.0,-0.3689754482715468,-1.769952582255785,-0.1400476711572063,-4.751017514777567,580.4,0.03659777531448416,0.08005165770788025
0.0,0.4,0.2,0.1,-0.6419227681146,-2.3917949417150086,-0.23840712054414848,-7.666332648730891,580.4,0.07431874191605736,0.09449789661293284
0.0,0.4,0.2,0.2,-0.8331604882784616,-2.8816522807862843,-0.30785005428162204,-9.73836178155964,580.4,0.10614222560243469,0.10735788264564228
0.0,0.4,0.2,0.3,-0.9650591839381661,-3.2495015005746253,-0.3560091521799702,-11.183872650683991,580.4,0.1312097986804206,0.11771719187634311
0.0,0.4,0.2,0.4,-1.0553162590442033,-3.516794979425353,-0.38908114850754183,-12.181761931370932,580.4,0.15005821439486589,0.12553159053494412
0.0,0.4,0.2,0.5,-1.117037669019827,-3.707371364715728,-0.4117420938945626,-12.868723033237137,580.4,0.1638404936881166,0.1311927279247893
0.0,0.4,0.3,0.0,-0.4236200606218321,-2.051476879933567,-0.16097139290398577,-5.462817668900015,580.4,0.04675892395691328,-0.009918249011842128
0.0,0.4,0.3,0.1,-0.6974617085415469,-2.687990652602945,-0.2598349153636659,-8.38914825475863,580.4,0.08497046417441645,0.001837471077181796
0.0,0.4,0.3,0.2,-0.8896483006782363,-3.19078778106745,-0.3297710092142969,-10.47303853877932,580.4,0.11730369259954632,0.012636958100964435
0.0,0.4,0.3,0.3,-1.0224288940591242,-3.569401765283853,-0.3783679736636958,-11.92967995754611,580.4,0.1428500125238763,0.021496342729721007
0.0,0.4,0.3,0.4,-1.113431848959956,-3.8451960454833234,-0.4118001623443446,-12.937040031966559,580.4,0.162110102445312,0.028254168838981464
0.0,0.4,0.3,0.5,-1.1757449636457307,-4.0422269959564545,-0.43474176308856416,-13.631541724709662,580.4,0.17622399744559036,0.033183307164952325
0.0,0.4,0.4,0.0,-0.45757447147363184,-2.2298992969191467,-0.17398311185868875,-5.9072939394082296,580.4,0.05345457993755076,-0.10762205921499568
0.0,0.4,0.4,0.1,-0.7320008622835772,-2.876024224754692,-0.2731741656639586,-8.84095408098727,580.4,0.09200198156200656,-0.09921949231150862
0.0,0.4,0.4,0.2,-0.9248036019171013,-3.387315533912827,-0.34343006033977774,-10.93265482925213,580.4,0.12467986937763076,-0.09106136150807131
0.0,0.4,0.4,0.3,-1.0581559329291057,-3.7730133931238585,-0.3923111176770355,-12.396600492878344,580.4,0.15054793710542747,-0.08417832934086711
0.0,0.4,0.4,0.4,-1.1496426980153185,-4.05441588584493,-0.4259773733007677,-13.410172481662318,580.4,0.17008403464338073,-0.07884727428990601
0.0,0.4,0.4,0.5,-1.2123400880369561,-4.255714792281218,-0.44910168410196016,-14.109623039786253,580.4,0.18442011482380227,-0.07492691943775664
0.0,0.4,0.5,0.0,-0.47921762230593856,-2.3452347607599955,-0.18227563850073958,-6.191784551668113,580.4,0.0579216310213404,-0.1962329166766641
0.0,0.4,0.5,0.1,-0.7540298705267068,-2.997700220419741,-0.2816815121510996,-9.130334021451946,580.4,0.09669815291022399,-0.19105979497542336
0.0,0.4,0.5,0.2,-0.9472372126190121,-3.514602389052668,-0.3521468835558039,-11.22720944246249,580.4,0.12960911629238403,-0.18547357752631832
