date,index_canada,index_mexico,index_china,index_usa
17nov2024,.99125117,.98088598,.99154902,.99554771
18nov2024,.99008793,.97980809,.9903791,.99513805
19nov2024,.98994952,.97686124,.99015915,.99500704
20nov2024,.99014956,.97575122,.98936403,.9952631
21nov2024,.98877138,.97419512,.98629838,.99547821
22nov2024,.98800963,.97343755,.98385596,.99475402
23nov2024,.98748451,.97403693,.98319054,.99446261
24nov2024,.98264807,.97251362,.98047161,.99337459
25nov2024,.98342788,.97227383,.98013657,.99364078
26nov2024,.98183221,.97121501,.97944939,.99333107
27nov2024,.98206288,.96935594,.9780066,.99308246
28nov2024,.98142278,.96829236,.97642988,.99260831
29nov2024,.97790509,.96823013,.97533435,.99197066
30nov2024,.9778344,.9676553,.97453111,.99169588
01dec2024,.9821164,.96920162,.97484189,.99127251
02dec2024,.98214203,.96957052,.97531754,.99135572
03dec2024,.98203224,.975052,.97923177,.99400574
04dec2024,.98218548,.97581786,.98059791,.9941535
05dec2024,.98192823,.98360628,.98050219,.9942559
06dec2024,.98319852,.98333216,.98047107,.99395001
07dec2024,.98308372,.98391896,.97996908,.99180526
08dec2024,.98471296,.98498958,.98106426,.99275339
09dec2024,.98442066,.98426366,.9808774,.9926151
10dec2024,.98505485,.98436302,.98203433,.99288452
11dec2024,.98594975,.98415506,.9826954,.99280643
12dec2024,.98709935,.98514628,.98271954,.9931404
13dec2024,.98981732,.98460245,.98245561,.99297929
14dec2024,.98991501,.9841249,.98228782,.99354714
15dec2024,.98971534,.98390627,.9815557,.99306911
16dec2024,.98757136,.98447901,.98114103,.99361604
17dec2024,.9881894,.98331684,.98159319,.99359924
18dec2024,.98829073,.98269308,.9827438,.99304163
19dec2024,.98775834,.98137432,.98275632,.99250925
20dec2024,.98734713,.98176193,.9827106,.99199849
21dec2024,.98807359,.98194814,.9837634,.99256378
22dec2024,.98841059,.98295599,.9843241,.99251235
23dec2024,.98874289,.98439765,.98421234,.99251556
24dec2024,.98872566,.98582852,.98420739,.99257803
25dec2024,.98739058,.98763824,.98500824,.99263674
26dec2024,.98870522,.99046987,.9867779,.99393165
27dec2024,.98704493,.98989105,.98628294,.99314743
28dec2024,.9884575,.99038231,.98651034,.99362916
29dec2024,.98783994,.99181592,.98694569,.99376547
30dec2024,.98846573,.99407089,.98787588,.99418044
31dec2024,.98755908,.99638784,.9885475,.99445087
01jan2025,.98955876,.99902946,.98972064,.99415636
02jan2025,.99062246,.99887615,.98988938,.99462736
